"HeronIsland.Salinity.practical.salinity.units." "HeronIsland.Water.Temperature.degrees.celsius." "HeronIsland.Water.Pressure.decibar." "LadyMusgrave.Water.Temperature..degrees.celsius."
"1" 35.6677 20.8084 5.585 22.009
"2" 35.7067 27.3591 5.5244 26.3597
"3" 35.6362 26.1832 5.8234 27.107
"4" 35.438 27.0963 5.8009 27.5417
"5" 35.7101 22.2151 5.473 22.0174
"6" 35.713 27.6904 5.7204 27.3985
"7" 35.6648 22.7745 5.4392 22.5419
"8" 35.6441 26.9398 5.8012 27.5397
"9" 35.5121 24.6322 5.6618 25.1732
"10" 35.6334 21.7371 5.5638 22.2878
"11" 35.822 26.4366 5.4938 26.7262
"12" 35.3071 26.7765 5.8586 27.5017
"13" 35.736 21.2447 5.4598 21.5777
"14" 35.8641 27.5959 5.6034 28.3602
"15" 35.5036 23.0859 5.5777 22.7572
"16" 35.5473 22.8894 5.5605 23.3064
"17" 35.6582 22.6102 5.4488 22.3488
"18" 35.6282 27.2209 5.8668 27.4826
"19" 35.7201 22.4084 5.834 22.2344
"20" 35.7379 26.1875 5.7177 26.7805
"21" 35.8741 27.1521 5.5969 27.2383
"22" 35.3858 27.2227 5.7598 27.3736
"23" 35.6093 22.0163 5.4815 21.8973
"24" 35.4615 24.1193 5.5225 24.3701
"25" 35.7675 27.6911 5.6495 27.9606
"26" 35.5564 26.1798 5.6964 26.1251
"27" 35.7383 26.1235 5.4763 26.0093
"28" 35.6696 20.9723 5.5541 21.7267
"29" 35.7355 26.0576 5.4961 26.4484
"30" 35.4701 24.4464 5.6822 25.3469
"31" 35.7038 20.9654 5.6076 22.4138
"32" 35.4907 26.9599 5.7813 27.4435
"33" 35.6643 21.5507 5.5938 21.5735
"34" 35.6229 26.6219 5.6894 26.445
"35" 35.6561 25.0588 5.8656 24.6688
"36" 35.4328 27.1755 5.7791 27.8079
"37" 35.7415 27.1223 5.5973 27.1169
"38" 35.4646 27.1894 5.7784 27.5734
"39" 35.7789 23.2353 5.5065 22.9264
"40" 35.6864 26.6728 5.9062 27.2292
"41" 35.6088 21.9264 5.741 22.5712
"42" 35.4745 27.1937 5.7894 27.5566
"43" 35.704 25.0376 5.5246 25.1144
"44" 35.6476 21.9961 5.4539 21.6123
"45" 35.6735 27.0761 5.9164 27.3969
"46" 35.7415 25.9016 5.6913 26.6613
"47" 35.5027 22.923 5.6937 23.508
"48" 35.8968 27.4421 5.5898 27.6246
"49" 35.9035 27.845 5.571 27.8852
"50" 35.4805 22.969 5.6215 23.5735
"51" 35.4457 25.1385 5.7274 25.681
"52" 35.5197 22.8375 5.6533 23.6438
"53" 35.463 25.5421 5.7261 25.7465
"54" 35.7337 25.8722 5.4529 25.7895
"55" 35.4846 23.1986 5.6429 22.9975
"56" 35.8846 26.3718 5.7746 27.3226
"57" 35.5177 22.8151 5.6395 23.5195
"58" 35.5809 22.3089 5.719 23.5329
"59" 35.834 26.3513 5.468 26.809
"60" 35.8153 26.9073 5.5146 27.9967
"61" 35.3898 24.0796 5.6835 24.7278
"62" 35.6572 26.5328 5.7297 26.2046
"63" 35.4796 23.8632 5.6123 24.4959
"64" 35.7165 21.7659 5.691 21.429
"65" 35.7332 20.5955 5.596 21.9014
"66" 35.3432 20.9239 5.8368 21.7364
"67" 35.8687 28.0775 5.5145 28.1243
"68" 35.4375 25.7864 5.7242 26.5292
"69" 35.5895 22.3831 5.6542 22.9088
"70" 35.7099 26.0745 5.4767 25.7594
